student_id,time_stamp,skill_id,correct
S001,0,1,0
S001,1,2,1
S001,2,3,0
S001,3,4,1
S001,4,6,1
S001,5,5,1
S001,6,7,1
S001,7,5,1
S001,8,1,1
S001,9,8,1
S001,10,3,1
S001,11,6,1
S001,12,4,1
S001,13,7,0
S001,14,2,0
S001,15,1,0
S001,16,2,1
S001,17,3,0
S001,18,4,1
S001,19,8,0
S002,0,1,1
S002,1,2,1
S002,2,3,1
S002,3,4,1
S002,4,5,1
S002,5,6,1
S002,6,7,1
S002,7,8,1
S002,8,1,1
S002,9,2,1
S002,10,8,1
S002,11,1,1
S002,12,2,1
S002,13,3,1
S002,14,4,1
S002,15,3,1
S002,16,4,1
S002,17,5,1
S002,18,6,1
S002,19,7,1
S003,0,1,1
S003,1,2,1
S003,2,4,0
S003,3,8,0
S003,4,1,0
S003,5,2,0
S003,6,5,1
S003,7,6,0
S003,8,7,0
S003,9,4,0
S003,10,3,1
S003,11,4,0
S003,12,8,0
S003,13,5,0
S003,14,1,0
S003,15,6,1
S003,16,2,0
S003,17,7,0
S003,18,3,1
S003,19,3,0
S004,0,3,1
S004,1,1,1
S004,2,1,1
S004,3,8,0
S004,4,7,1
S004,5,6,1
S004,6,5,1
S004,7,2,1
S004,8,4,1
S004,9,2,1
S004,10,3,1
S004,11,4,0
S004,12,5,1
S004,13,6,0
S004,14,7,0
S004,15,8,1
S004,16,1,0
S004,17,2,0
S005,0,6,0
S005,1,8,1
S005,2,5,1
S005,3,7,1
S005,4,2,1
S005,5,1,1
S005,6,1,0
S005,7,2,0
S005,8,3,1
S005,9,4,1
S005,10,3,0
S005,11,4,0
S005,12,5,0
S005,13,6,0
S005,14,7,1
S005,15,8,1
S006,0,1,1
S006,1,3,0
S006,2,2,1
S006,3,4,1
S006,4,5,1
S007,0,6,0
S007,1,7,0
S007,2,8,0
S007,3,1,0
S007,4,2,0
S007,5,3,0
S007,6,4,0
S007,7,5,0
S007,8,6,0
S007,9,1,0
S007,10,2,0
S007,11,3,1
S007,12,4,1
S007,13,5,0
S008,0,4,0
S008,1,1,1
S008,2,2,0
S008,3,3,1
S008,4,7,0
S008,5,5,0
S008,6,6,0
S009,0,8,0
S009,1,4,1
S009,2,3,1
S009,3,2,1
S009,4,1,1
S009,5,6,1
S009,6,7,0
